Name,Club,Start Date,From,End Date,Until,adjustedStartDate
Eddie Howe,Bournemouth,12/10/2012 00:00,12-Oct-12,01/08/2020 00:00,01-Aug-20,12/10/2012 00:00
Slaven Bili?,West Ham,09/06/2015 00:00,09-Jun-15,06/11/2017 00:00,06-Nov-17,09/06/2015 00:00
Tony Pulis,West Brom,01/01/2015 00:00,01-Jan-15,20/11/2017 00:00,20-Nov-17,01/01/2015 00:00
Claudio Ranieri,Leicester,13/07/2015 00:00,13-Jul-15,23/02/2017 00:00,23-Feb-17,13/07/2015 00:00
Alex Neil,Norwich,09/01/2015 00:00,09-Jan-15,10/03/2017 00:00,10-Mar-17,09/01/2015 00:00
Alan Pardew,Crystal Palace,02/01/2015 00:00,02-Jan-15,22/12/2016 00:00,22-Dec-16,02/01/2015 00:00
Rémi Garde,Aston Villa,02/11/2015 00:00,02-Nov-15,29/03/2016 00:00,29-Mar-16,02/11/2015 00:00
Guus Hiddink,Chelsea,19/12/2015 00:00,19-Dec-15,15/05/2016 00:00,15-May-16,19/12/2015 00:00
Alan Curtis,Swansea,09/12/2015 00:00,09-Dec-15,18/01/2016 00:00,18-Jan-16,09/12/2015 00:00
Steve McClaren,Newcastle,10/06/2015 00:00,10-Jun-15,11/03/2016 00:00,11-Mar-16,10/06/2015 00:00
Sam Allardyce,Sunderland,09/10/2015 00:00,09-Oct-15,22/07/2016 00:00,22-Jul-16,09/10/2015 00:00
Quique Sánchez Flores,Watford,05/06/2015 00:00,05-Jun-15,15/05/2016 00:00,15-May-16,05/06/2015 00:00
Jürgen Klopp,Liverpool,08/10/2015 00:00,08-Oct-15,,,08/10/2015 00:00
Chris Ramsey,QPR,03/02/2015 00:00,03/02/2015 00:00,04/11/2015 00:00,04-Nov-15,03/02/2015 00:00
Tim Sherwood,Aston Villa,14/02/2015 00:00,14-Feb-15,25/10/2015 00:00,25-Oct-15,14/02/2015 00:00
Kevin MacDonald,Aston Villa,25/10/2015 00:00,25-Oct-15,02/11/2015 00:00,02-Nov-15,25/10/2015 00:00
Dick Advocaat,Sunderland,17/03/2015 00:00,17-Mar-15,04/10/2015 00:00,04-Oct-15,17/03/2015 00:00
Scott Marshall,Aston Villa,11/02/2015 00:00,11-Feb-15,14/02/2015 00:00,14-Feb-15,11/02/2015 00:00
Kevin Bond,QPR,03/02/2015 00:00,03-Feb-15,12/02/2015 00:00,12-Feb-15,03/02/2015 00:00
John Carver,Newcastle,02/01/2015 00:00,02/01/2015 00:00,10/06/2015 00:00,10-Jun-15,02/01/2015 00:00
Steve Holland,Chelsea,17/12/2015 00:00,17-Dec-15,19/12/2015 00:00,19-Dec-15,17/12/2015 00:00
Mauricio Pochettino,Tottenham,27/05/2014 00:00,27-May-14,19/11/2019 00:00,19-Nov-19,27/05/2014 00:00
Louis van Gaal,Man United,14/07/2014 00:00,14-Jul-14,23/05/2016 00:00,23-May-16,14/07/2014 00:00
Ronald Koeman,Southampton,16/06/2014 00:00,16-Jun-14,14/06/2016 00:00,14-Jun-16,16/06/2014 00:00
Sean Dyche,Burnley,30/10/2012 00:00,30-Oct-12,15/04/2022 00:00,15-Apr-22,30/10/2012 00:00
Rob Kelly,West Brom,29/12/2014 00:00,29-Dec-14,01/01/2015 00:00,01-Jan-15,29/12/2014 00:00
Nigel Pearson,Leicester,15/11/2011 00:00,15-Nov-11,30/06/2015 00:00,30-Jun-15,15/11/2011 00:00
Garry Monk,Swansea,04/02/2014 00:00,04-Feb-14,09/12/2015 00:00,09-Dec-15,04/02/2014 00:00
Keith Millen,Crystal Palace,27/12/2014 00:00,27-Dec-14,02/01/2015 00:00,02-Jan-15,27/12/2014 00:00
Alan Irvine,West Brom,14/06/2014 00:00,14-Jun-14,29/12/2014 00:00,29-Dec-14,14/06/2014 00:00
Pepe Mel,West Brom,09/01/2014 00:00,09-Jan-14,12/05/2014 00:00,12-May-14,09/01/2014 00:00
Neil Adams,Norwich,06/04/2014 00:00,06-Apr-14,05/01/2015 00:00,05-Jan-15,06/04/2014 00:00
Ryan Giggs,Man United,22/04/2014 00:00,22-Apr-14,11/05/2014 00:00,11-May-14,22/04/2014 00:00
Ole Gunnar Solskjær,Cardiff,02/01/2014 00:00,02-Jan-14,18/09/2014 00:00,18-Sep-14,02/01/2014 00:00
Keith Millen,Crystal Palace,14/08/2014 00:00,14-Aug-14,27/08/2014 00:00,27-Aug-14,14/08/2014 00:00
Felix Magath,Fulham,14/02/2014 00:00,14-Feb-14,18/09/2014 00:00,18-Sep-14,14/02/2014 00:00
Neil Warnock,Crystal Palace,27/08/2014 00:00,27-Aug-14,27/12/2014 00:00,27-Dec-14,27/08/2014 00:00
Mark Hughes,Stoke,30/05/2013 00:00,30-May-13,06/01/2018 00:00,06-Jan-18,30/05/2013 00:00
Roberto Martínez,Everton,05/06/2013 00:00,05-Jun-13,12/05/2016 00:00,12-May-16,05/06/2013 00:00
Manuel Pellegrini,Man City,14/06/2013 00:00,14-Jun-13,30/06/2016 00:00,30-Jun-16,14/06/2013 00:00
Steve Bruce,Hull,08/06/2012 00:00,08-Jun-12,22/07/2016 00:00,22-Jul-16,08/06/2012 00:00
José Mourinho,Chelsea,03/06/2013 00:00,03-Jun-13,17/12/2015 00:00,17-Dec-15,03/06/2013 00:00
Gus Poyet,Sunderland,08/10/2013 00:00,08-Oct-13,16/03/2015 00:00,16-Mar-15,08/10/2013 00:00
Mauricio Pochettino,Southampton,18/01/2013 00:00,18-Jan-13,27/05/2014 00:00,27-May-14,18/01/2013 00:00
Tim Sherwood,Tottenham,16/12/2013 00:00,16-Dec-13,13/05/2014 00:00,13-May-14,16/12/2013 00:00
Keith Downing,West Brom,14/12/2013 00:00,14-Dec-13,09/01/2014 00:00,09-Jan-14,14/12/2013 00:00
David Moyes,Man United,01/07/2013 00:00,01-Jul-13,22/04/2014 00:00,22-Apr-14,01/07/2013 00:00
René Meulensteen,Fulham,01/12/2013 00:00,01-Dec-13,14/02/2014 00:00,14-Feb-14,01/12/2013 00:00
David Kerslake,Cardiff,27/12/2013 00:00,27-Dec-13,02/01/2014 00:00,02-Jan-14,27/12/2013 00:00
Tony Pulis,Crystal Palace,23/11/2013 00:00,23-Nov-13,14/08/2014 00:00,14-Aug-14,23/11/2013 00:00
Malky Mackay,Cardiff,17/06/2011 00:00,17-Jun-11,27/12/2013 00:00,27-Dec-13,17/06/2011 00:00
Brian Kidd,Man City,13/05/2013 00:00,13-May-13,14/06/2013 00:00,14-Jun-13,13/05/2013 00:00
Ian Holloway,Crystal Palace,03/11/2012 00:00,03-Nov-12,23/10/2013 00:00,23-Oct-13,03/11/2012 00:00
Nigel Adkins,Reading,26/03/2013 00:00,26-Mar-13,15/12/2014 00:00,15-Dec-14,26/03/2013 00:00
Keith Millen,Crystal Palace,23/10/2013 00:00,23-Oct-13,23/11/2013 00:00,23-Nov-13,23/10/2013 00:00
Kevin Ball,Sunderland,22/09/2013 00:00,22-Sep-13,08/10/2013 00:00,08-Oct-13,22/09/2013 00:00
Paolo Di Canio,Sunderland,31/03/2013 00:00,31-Mar-13,22/09/2013 00:00,22-Sep-13,31/03/2013 00:00
Brendan Rodgers,Liverpool,01/06/2012 00:00,01-Jun-12,04/10/2015 00:00,04-Oct-15,01/06/2012 00:00
Sam Allardyce,West Ham,01/06/2011 00:00,01-Jun-11,24/05/2015 00:00,24-May-15,01/06/2011 00:00
Paul Lambert,Aston Villa,02/06/2012 00:00,02-Jun-12,11/02/2015 00:00,11-Feb-15,02/06/2012 00:00
Chris Hughton,Norwich,07/06/2012 00:00,07-Jun-12,06/04/2014 00:00,06-Apr-14,07/06/2012 00:00
Michael Laudrup,Swansea,15/06/2012 00:00,15-Jun-12,04/02/2014 00:00,04-Feb-14,15/06/2012 00:00
Harry Redknapp,QPR,24/11/2012 00:00,24-Nov-12,03/02/2015 00:00,03-Feb-15,24/11/2012 00:00
André Villas-Boas,Tottenham,06/07/2012 00:00,06-Jul-12,16/12/2013 00:00,16-Dec-13,06/07/2012 00:00
Nigel Adkins,Southampton,12/09/2010 00:00,12-Sep-10,18/01/2013 00:00,18-Jan-13,12/09/2010 00:00
Rafael Benítez,Chelsea,21/11/2012 00:00,21-Nov-12,27/05/2013 00:00,27-May-13,21/11/2012 00:00
Steve Clarke,West Brom,08/06/2012 00:00,08-Jun-12,14/12/2013 00:00,14-Dec-13,08/06/2012 00:00
Mark Bowen,QPR,23/11/2012 00:00,23-Nov-12,24/11/2012 00:00,24-Nov-12,23/11/2012 00:00
Roberto Di Matteo,Chelsea,04/03/2012 00:00,04-Mar-12,21/11/2012 00:00,21-Nov-12,04/03/2012 00:00
Mark Hughes,QPR,10/01/2012 00:00,10-Jan-12,23/11/2012 00:00,23-Nov-12,10/01/2012 00:00
Terry Connor,Wolves,24/02/2012 00:00,24-Feb-12,30/06/2012 00:00,30-Jun-12,24/02/2012 00:00
Martin Jol,Fulham,07/06/2011 00:00,07-Jun-11,01/12/2013 00:00,01-Dec-13,07/06/2011 00:00
Martin O'Neill,Sunderland,03/12/2011 00:00,03-Dec-11,30/03/2013 00:00,30-Mar-13,03/12/2011 00:00
Alex McLeish,Aston Villa,17/06/2011 00:00,17-Jun-11,14/05/2012 00:00,14-May-12,17/06/2011 00:00
Roy Hodgson,West Brom,14/02/2011 00:00,14-Feb-11,13/05/2012 00:00,13-May-12,14/02/2011 00:00
Paul Lambert,Norwich,18/08/2009 00:00,18-Aug-09,02/06/2012 00:00,02-Jun-12,18/08/2009 00:00
André Villas-Boas,Chelsea,22/06/2011 00:00,22-Jun-11,04/03/2012 00:00,04-Mar-12,22/06/2011 00:00
Neil Warnock,QPR,01/03/2010 00:00,01-Mar-10,08/01/2012 00:00,08-Jan-12,01/03/2010 00:00
Brendan Rodgers,Swansea,16/07/2010 00:00,16-Jul-10,01/06/2012 00:00,01-Jun-12,16/07/2010 00:00
Kenny Dalglish,Liverpool,08/01/2011 00:00,08-Jan-11,16/05/2012 00:00,16-May-12,08/01/2011 00:00
Michael Appleton,West Brom,06/02/2011 00:00,06-Feb-11,14/02/2011 00:00,14-Feb-11,06/02/2011 00:00
Kevin Keen,West Ham,15/05/2011 00:00,15-May-11,01/06/2011 00:00,01-Jun-11,15/05/2011 00:00
Gary McAllister,Aston Villa,23/04/2011 00:00,23-Apr-11,22/05/2011 00:00,22-May-11,23/04/2011 00:00
Alan Pardew,Newcastle,09/12/2010 00:00,09-Dec-10,02/01/2015 00:00,02-Jan-15,09/12/2010 00:00
Steve Kean,Blackburn,13/12/2010 00:00,13-Dec-10,28/09/2012 00:00,28-Sep-12,13/12/2010 00:00
Owen Coyle,Bolton,08/01/2010 00:00,08-Jan-10,09/10/2012 00:00,09-Oct-12,08/01/2010 00:00
Roberto Di Matteo,West Brom,30/06/2009 00:00,30-Jun-09,06/02/2011 00:00,06-Feb-11,30/06/2009 00:00
Roy Hodgson,Liverpool,01/07/2010 00:00,01-Jul-10,08/01/2011 00:00,08-Jan-11,01/07/2010 00:00
Gérard Houllier,Aston Villa,08/09/2010 00:00,08-Sep-10,01/06/2011 00:00,01-Jun-11,08/09/2010 00:00
Ian Holloway,Blackpool,21/05/2009 00:00,21-May-09,03/11/2012 00:00,03-Nov-12,21/05/2009 00:00
Avram Grant,West Ham,03/06/2010 00:00,03-Jun-10,15/05/2011 00:00,15-May-11,03/06/2010 00:00
Mark Hughes,Fulham,29/07/2010 00:00,29-Jul-10,01/06/2011 00:00,01-Jun-11,29/07/2010 00:00
Brian Laws,Burnley,13/01/2010 00:00,13-Jan-10,29/12/2010 00:00,29-Dec-10,13/01/2010 00:00
Iain Dowie,Hull,17/03/2010 00:00,17/03/2010 00:00,09/05/2010 00:00,09-May-10,17/03/2010 00:00
Kevin MacDonald,Aston Villa,09/08/2010 00:00,09-Aug-10,08/09/2010 00:00,08-Sep-10,09/08/2010 00:00
Ray Lewington,Fulham,01/07/2010 00:00,01-Jul-10,29/07/2010 00:00,29-Jul-10,01/07/2010 00:00
Chris Hughton,Newcastle,01/06/2009 00:00,01-Jun-09,06/12/2010 00:00,06-Dec-10,01/06/2009 00:00
Roberto Martínez,Wigan,15/06/2009 00:00,15-Jun-09,28/05/2013 00:00,28-May-13,15/06/2009 00:00
Brian McDermott,Reading,17/12/2009 00:00,17-Dec-09,11/03/2013 00:00,11-Mar-13,17/12/2009 00:00
Roberto Mancini,Man City,19/12/2009 00:00,19-Dec-09,13/05/2013 00:00,13-May-13,19/12/2009 00:00
Mick McCarthy,Wolves,05/08/2006 00:00,05-Aug-06,14/02/2012 00:00,14-Feb-12,05/08/2006 00:00
Steve Bruce,Sunderland,03/06/2009 00:00,03-Jun-09,30/11/2011 00:00,30-Nov-11,03/06/2009 00:00
Carlo Ancelotti,Chelsea,01/07/2009 00:00,01-Jul-09,22/05/2011 00:00,22-May-11,01/07/2009 00:00
Owen Coyle,Burnley,27/11/2007 00:00,27-Nov-07,05/01/2010 00:00,05-Jan-10,27/11/2007 00:00
Avram Grant,Portsmouth,26/11/2009 00:00,26-Nov-09,21/05/2010 00:00,21-May-10,26/11/2009 00:00
Guus Hiddink,Chelsea,16/02/2009 00:00,16-Feb-09,31/05/2009 00:00,31-May-09,16/02/2009 00:00
Ray Wilkins,Chelsea,09/02/2009 00:00,09-Feb-09,16/02/2009 00:00,16-Feb-09,09/02/2009 00:00
Alan Shearer,Newcastle,01/04/2009 00:00,01-Apr-09,24/05/2009 00:00,24-May-09,01/04/2009 00:00
Paul Hart,Portsmouth,09/02/2009 00:00,09-Feb-09,24/11/2009 00:00,24-Nov-09,09/02/2009 00:00
Tony Pulis,Stoke,15/06/2006 00:00,15-Jun-06,21/05/2013 00:00,21-May-13,15/06/2006 00:00
Harry Redknapp,Tottenham,26/10/2008 00:00,26-Oct-08,13/06/2012 00:00,13-Jun-12,26/10/2008 00:00
Gianfranco Zola,West Ham,15/09/2008 00:00,15-Sep-08,11/05/2010 00:00,11-May-10,15/09/2008 00:00
Sam Allardyce,Blackburn,17/12/2008 00:00,17-Dec-08,13/12/2010 00:00,13-Dec-10,17/12/2008 00:00
Tony Mowbray,West Brom,18/10/2006 00:00,18-Oct-06,16/06/2009 00:00,16-Jun-09,18/10/2006 00:00
Luiz Felipe Scolari,Chelsea,01/07/2008 00:00,01-Jul-08,09/02/2009 00:00,09-Feb-09,01/07/2008 00:00
Joe Kinnear,Newcastle,29/09/2008 00:00,29-Sep-08,01/04/2009 00:00,01-Apr-09,29/09/2008 00:00
Phil Brown,Hull,04/12/2006 00:00,04-Dec-06,15/03/2010 00:00,15-Mar-10,04/12/2006 00:00
Mark Hughes,Man City,04/06/2008 00:00,04-Jun-08,19/12/2009 00:00,19-Dec-09,04/06/2008 00:00
Tony Adams,Portsmouth,25/10/2008 00:00,25-Oct-08,09/02/2009 00:00,09-Feb-09,25/10/2008 00:00
Ricky Sbragia,Sunderland,04/12/2008 00:00,04-Dec-08,24/05/2009 00:00,24-May-09,04/12/2008 00:00
Paul Ince,Blackburn,22/06/2008 00:00,22-Jun-08,16/12/2008 00:00,16-Dec-08,22/06/2008 00:00
Clive Allen,Tottenham,25/10/2008 00:00,25-Oct-08,26/10/2008 00:00,26-Oct-08,25/10/2008 00:00
Chris Hughton,Newcastle,08/09/2008 00:00,08-Sep-08,28/09/2008 00:00,28-Sep-08,08/09/2008 00:00
Kevin Keegan,Newcastle,16/01/2008 00:00,16-Jan-08,04/09/2008 00:00,04-Sep-08,16/01/2008 00:00
Nigel Pearson,Newcastle,09/01/2008 00:00,09-Jan-08,16/01/2008 00:00,16-Jan-08,09/01/2008 00:00
Joe Jordan,Portsmouth,25/10/2008 00:00,25-Oct-08,28/10/2008 00:00,28-Oct-08,25/10/2008 00:00
Kevin Keen,West Ham,03/09/2008 00:00,03-Sep-08,15/09/2008 00:00,15-Sep-08,03/09/2008 00:00
Roy Hodgson,Fulham,30/12/2007 00:00,30-Dec-07,30/06/2010 00:00,30-Jun-10,30/12/2007 00:00
Gary Megson,Bolton,25/10/2007 00:00,25-Oct-07,30/12/2009 00:00,30-Dec-09,25/10/2007 00:00
Steve Bruce,Wigan,26/11/2007 00:00,26-Nov-07,03/06/2009 00:00,03-Jun-09,26/11/2007 00:00
Alex McLeish,Birmingham,28/11/2007 00:00,28-Nov-07,12/06/2011 00:00,12-Jun-11,28/11/2007 00:00
Avram Grant,Chelsea,20/09/2007 00:00,20-Sep-07,24/05/2008 00:00,24-May-08,20/09/2007 00:00
Paul Jewell,Derby,28/11/2007 00:00,28-Nov-07,29/12/2008 00:00,29-Dec-08,28/11/2007 00:00
Roy Keane,Sunderland,30/08/2006 00:00,30-Aug-06,04/12/2008 00:00,04-Dec-08,30/08/2006 00:00
