Name,Club,Start Date,From,End Date,Until,adjustedStartDate
Dave Jones,Wolves,03/01/2001 00:00,03-Jan-01,11/11/2004 00:00,11-Nov-04,03/01/2001 00:00
Eddie Gray,Leeds,10/11/2003 00:00,10-Nov-03,21/05/2004 00:00,21-May-04,10/11/2003 00:00
David Pleat,Tottenham,21/09/2003 00:00,21-Sep-03,03/06/2004 00:00,03-Jun-04,21/09/2003 00:00
Mick McCarthy,Sunderland,12/03/2003 00:00,12-Mar-03,06/03/2006 00:00,06-Mar-06,12/03/2003 00:00
Trevor Brooking,West Ham,24/04/2003 00:00,24-Apr-03,12/05/2003 00:00,12-May-03,24/04/2003 00:00
Peter Reid,Leeds,21/03/2003 00:00,21-Mar-03,10/11/2003 00:00,10-Nov-03,21/03/2003 00:00
David Moyes,Everton,15/03/2002 00:00,15-Mar-02,01/06/2013 00:00,01-Jun-13,15/03/2002 00:00
Steve Bruce,Birmingham,12/12/2001 00:00,12-Dec-01,23/11/2007 00:00,23-Nov-07,12/12/2001 00:00
Kevin Keegan,Man City,24/05/2001 00:00,24-May-01,11/03/2005 00:00,11-Mar-05,24/05/2001 00:00
Gérard Houllier,Liverpool,17/03/2002 00:00,17-Mar-02,24/05/2004 00:00,24-May-04,17/03/2002 00:00
Gary Megson,West Brom,09/03/2000 00:00,09-Mar-00,26/10/2004 00:00,26-Oct-04,01/01/2000
Graham Taylor,Aston Villa,05/02/2002 00:00,05-Feb-02,14/05/2003 00:00,14-May-03,05/02/2002 00:00
Terry Venables,Leeds,08/07/2002 00:00,08-Jul-02,21/03/2003 00:00,21-Mar-03,08/07/2002 00:00
Howard Wilkinson,Sunderland,10/10/2002 00:00,10-Oct-02,10/03/2003 00:00,10-Mar-03,10/10/2002 00:00
Micky Adams,Leicester,07/04/2002 00:00,07-Apr-02,11/10/2004 00:00,11-Oct-04,07/04/2002 00:00
John Deehan,Aston Villa,24/01/2002 00:00,24-Jan-02,05/02/2002 00:00,05-Feb-02,24/01/2002 00:00
